P1 winrate , P1 wins ,   games , stars and ships
0.000      ,     0.0 ,       1 , (b1 g1 r1) (b2 r3 g3)
0.000      ,     0.0 ,       1 , (b1 g1 r1) (g2 y3 b3)
0.000      ,     0.0 ,       1 , (b1 g1 r3) (g1 r1 b3)
0.000      ,     0.0 ,       1 , (b1 g1 y1) (b3 g3 r3)
0.000      ,     0.0 ,       1 , (b1 g1 y1) (g3 y1 b3)
0.000      ,     0.0 ,       1 , (b1 g1 y3) (b1 r2 g3)
0.000      ,     0.0 ,       1 , (b1 g1 y3) (b2 g1 g3)
0.000      ,     0.0 ,       1 , (b1 g1 y3) (b2 g1 r3)
0.000      ,     0.0 ,       1 , (b1 g1 y3) (b2 r1 g3)
0.000      ,     0.0 ,       1 , (b1 g1 y3) (b2 y3 g3)
0.000      ,     0.0 ,       1 , (b1 g1 y3) (b3 r1 g3)
0.000      ,     0.0 ,       1 , (b1 g1 y3) (b3 r3 g3)
0.000      ,     0.0 ,       1 , (b1 g1 y3) (g3 y3 b3)
0.000      ,     0.0 ,       1 , (b1 g1 y3) (r1 y2 g3)
0.000      ,     0.0 ,       1 , (b1 g2 b3) (b1 r3 g3)
0.000      ,     0.0 ,       1 , (b1 g2 g3) (b2 g3 y3)
0.000      ,     0.0 ,       1 , (b1 g2 g3) (b2 r1 g3)
0.000      ,     0.0 ,       1 , (b1 g2 r3) (b1 g2 b3)
0.000      ,     0.0 ,       1 , (b1 g2 r3) (b1 g3 r3)
0.000      ,     0.0 ,       1 , (b1 g2 r3) (b2 g3 y3)
0.000      ,     0.0 ,       1 , (b1 g2 r3) (b2 y1 g3)
0.000      ,     0.0 ,       1 , (b1 g2 r3) (b3 g1 r3)
0.000      ,     0.0 ,       1 , (b1 g2 r3) (b3 g2 r3)
0.000      ,     0.0 ,       1 , (b1 g2 r3) (b3 g3 r3)
0.000      ,     0.0 ,       1 , (b1 g2 r3) (g1 y2 b3)
0.000      ,     0.0 ,       1 , (b1 g2 r3) (g1 y3 b3)
0.000      ,     0.0 ,       1 , (b1 g2 r3) (g2 r3 b3)
0.000      ,     0.0 ,       1 , (b1 g2 r3) (g2 y1 r3)
0.000      ,     0.0 ,       1 , (b1 g2 r3) (g2 y3 b3)
0.000      ,     0.0 ,       1 , (b1 g2 y3) (b1 y2 r3)
0.000      ,     0.0 ,       1 , (b1 g2 y3) (b2 g3 g3)
0.000      ,     0.0 ,       1 , (b1 g2 y3) (b2 y2 g3)
0.000      ,     0.0 ,       1 , (b1 g2 y3) (b3 g1 y3)
0.000      ,     0.0 ,       1 , (b1 g2 y3) (b3 g2 r3)
0.000      ,     0.0 ,       1 , (b1 g2 y3) (g1 r2 y3)
0.000      ,     0.0 ,       1 , (b1 g2 y3) (g1 y2 r3)
0.000      ,     0.0 ,       1 , (b1 g2 y3) (g2 y2 b3)
