P1 winrate ,  P1 wins , games , starsizes
     0.175 ,    3.5   ,    20 , (1 1) (1 2)
     0.200 ,    2.0   ,    10 , (1 1) (2 3)
     0.250 ,    1.0   ,     4 , (1 1) (3 3)
     0.292 ,    3.5   ,    12 , (1 1) (1 3)
     0.385 ,    5.0   ,    13 , (1 3) (2 2)
     0.393 ,   11.0   ,    28 , (2 3) (2 2)
     0.408 ,   29.0   ,    71 , (1 2) (2 2)
     0.409 ,    9.0   ,    22 , (2 3) (1 1)
     0.441 ,   15.0   ,    34 , (2 3) (3 3)
     0.449 ,  213.5   ,   476 , (1 3) (1 2)
     0.472 ,  341.5   ,   724 , (2 3) (1 2)
     0.481 ,   13.0   ,    27 , (1 3) (3 3)
     0.486 ,  286.5   ,   590 , (1 2) (1 3)
     0.491 ,   26.0   ,    53 , (3 3) (1 3)
     0.495 ,   45.5   ,    92 , (3 3) (3 3)
     0.495 ,  402.5   ,   813 , (1 2) (2 3)
     0.500 ,    1.5   ,     3 , (1 1) (2 2)
     0.502 ,  216.0   ,   430 , (1 3) (2 3)
     0.510 ,   26.5   ,    52 , (1 2) (3 3)
     0.538 ,  214.0   ,   398 , (2 3) (1 3)
     0.550 ,   16.5   ,    30 , (2 2) (2 2)
     0.571 ,    4.0   ,     7 , (1 1) (1 1)
     0.599 ,  175.0   ,   292 , (2 3) (2 3)
     0.604 ,   78.5   ,   130 , (1 3) (1 3)
     0.625 ,    5.0   ,     8 , (2 2) (3 3)
     0.631 ,   53.0   ,    84 , (3 3) (2 3)
     0.635 ,   33.0   ,    52 , (2 2) (1 2)
     0.643 ,  193.0   ,   300 , (1 2) (1 2)
     0.667 ,    2.0   ,     3 , (1 2) (1 1)
     0.667 ,    4.0   ,     6 , (1 3) (1 1)
     0.667 ,    4.0   ,     6 , (2 2) (1 1)
     0.679 ,   38.0   ,    56 , (2 2) (2 3)
     0.723 ,   34.0   ,    47 , (3 3) (1 2)
     0.750 ,   15.0   ,    20 , (2 2) (1 3)
     0.833 ,    5.0   ,     6 , (3 3) (1 1)
     0.889 ,    8.0   ,     9 , (3 3) (2 2)
     0.514 , 2533.5   ,  4928 , Overall
     0.488 , 1674.0   ,  3431 , All large universes
     0.573 ,  743.5   ,  1297 , All small universes
     0.580 ,  116.0   ,   200 , All microverses

